entity,day,training_computation_petaflop
Llama-3.1-Nemotron-70B-Instruct,2024-10-12,7929000000.0
LongCat-Flash,2025-09-01,3725999900.0
M6-T,2021-03-05,5500000.5
MLN-ASR,1988-08-01,2.96425e-07
MLP with back-propagation,1986-10-01,6.7392e-07
MM1-30B,2024-03-14,486000000.0
MMLSTM (PTB),2019-12-05,58.298782
MMLSTM (WT-2),2019-12-05,193.8
MSA Transformer,2021-02-13,5490000.0
"MSRA (C, PReLU)",2015-02-06,23974.031
MUSIC perceptron,1996-06-03,0.0008817336
Make-A-Scene,2022-03-24,6417285.0
Masked Autoencoders ViT-H,2021-11-11,460000.0
MedBERT,2021-05-20,9470.0
Meena,2020-01-28,112000000.0
MegaScale (Production),2024-02-23,3900000000.0
Megatron-BERT,2019-09-17,22000002.0
Megatron-LM (1.2B),2019-09-17,1130400.0
Megatron-LM (8.3B),2019-09-17,9100000.0
Megatron-Turing NLG 530B,2021-10-11,858600060.0
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,68428.805
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,161740.8
MetNet,2020-03-24,9510.912
Meta Pseudo Labels,2021-03-01,47900004.0
MiMo-V2.5-Pro,2026-04-23,6804000300.0
Minerva (540B),2022-06-29,2741500200.0
Mixtral 8x7B,2023-12-11,774000000.0
Mixture of linear models,1994-12-02,0.0004536
MoE-Multi,2017-01-23,93939.055
Mogrifier RLSTM (WT2),2022-11-03,140.0
MolmoAct 2,2026-04-05,11000001.0
Motif-3,2026-08-07,1100000000.0
Movie Gen Video,2024-10-04,1650000000.0
MuZero,2019-11-19,48000.0
Multi-cell LSTM,2018-11-15,2.00664
MultiBand Diffusion,2023-11-08,26000.0
MuseNet,2019-04-25,220830.11
NAS with base 8 and shared embeddings,2016-11-05,10.5
NASv3 (CIFAR-10),2016-11-05,2200000.0
NETtalk reimplementation,1990-06-01,3.5811936e-05
NLLB,2022-07-06,17511138.0
NPLM (AP News),2003-03-15,1.6668692
NPLM (Brown),2003-03-15,0.13207626
NVLM-D 72B,2024-10-22,3020000000.0
NVLM-H 72B,2024-10-22,3020000000.0
NVLM-X 72B,2024-10-22,3039818200.0
Named Entity Recognition model,2016-03-04,96.940796
Nemotron 3 Ultra,2026-06-04,6600000000.0
Nemotron 3-Nano-30B-A3B,2025-12-15,480000000.0
Nemotron-3-8B,2023-11-15,180000000.0
Nemotron-4 340B,2024-06-14,18000000000.0
Neocognitron,1980-04-01,2.7373824e-07
NetTalk (dictionary),1987-06-06,2.7664064e-05
NetTalk (transcription),1987-06-06,2.8328002e-05
Neural LM,2000-11-28,6.339
NeuroChess,1994-12-02,0.0008587308
Noisy Student (L2),2019-11-11,26120000.0
Nucleotide Transformer,2023-01-15,8080000.0
NÜWA,2021-11-24,7245988.0
ONE-PEACE,2023-05-18,180000.0
OPT-175B,2022-05-02,430000030.0
Octo-Base,2024-05-20,585000.0
Olmo 3,2025-11-20,1100000000.0
OmegaPLM,2022-07-22,10351411.0
Once for All,2020-04-29,623700.0
OpenAI Five,2019-12-13,67000004.0
OpenAI Five Rerun,2019-12-13,13000000.0
OpenAI TI7 DOTA 1v1,2017-08-11,604609.5
OpenVLA,2024-06-13,110000000.0
PLATO-XL,2021-09-20,9900000.0
PLUG,2021-04-19,35997696.0
PaLI,2022-09-14,169000020.0
PaLI-X,2023-05-29,560000000.0
PaLM (540B),2022-04-04,2527200000.0
PaLM 2,2023-05-10,7339999700.0
PanGu-Σ,2023-03-20,467000000.0
Pandemonium (morse),1959-02-01,6e-07
Pangu Ultra,2025-04-10,10692001000.0
Pangu-Weather,2023-07-05,39800000.0
Parti,2022-06-22,509607970.0
PeptideBERT,2023-08-28,49.000004
